DATE,STA_A,STA_H,STA_I,STA_M
2018-01-01,6.0,31.5,35,0.0
2018-01-02,52.0,37.9,27,10.0
2018-01-03,8.0,29.4,2,16.0
2018-01-04,38.5,12.8,12,11.0
2018-01-05,46.0,0.0,9,5.5
2018-01-06,12.0,0.0,11,1.5
2018-01-07,2.5,0.0,0,0.0
2018-01-08,0.0,0.0,0,0.0
2018-01-09,1.0,0.0,0,0.0
2018-01-10,14.5,0.0,4,39.0
2018-01-11,6.5,0.0,10,0.0
2018-01-12,3.5,0.0,1,0.0
2018-01-13,0.0,0.0,0,1.5
2018-01-14,3.0,0.0,3,0.0
2018-01-15,4.5,0.0,7,0.0
2018-01-16,2.0,0.0,0,0.0
2018-01-17,0.0,0.0,0,0.0
2018-01-18,0.0,0.0,0,0.0
2018-01-19,1.5,0.0,5,0.0
2018-01-20,2.5,0.0,0,0.0
2018-01-21,1.0,0.0,0,9.0
2018-01-22,38.5,0.0,8,0.0
2018-01-23,0.0,3.8,0,0.0
2018-01-24,0.0,0.0,0,1.0
2018-01-25,0.0,7.6,0,0.0
2018-01-26,6.0,0.0,2,3.5
2018-01-27,18.5,0.0,14,0.0
2018-01-28,3.0,0.0,0,0.0
2018-01-29,7.5,0.0,11,0.0
2018-01-30,5.0,0.0,25,1.5
2018-01-31,2.0,0.0,13,0.0
2018-02-01,0.0,0.0,9,0.0
2018-02-02,0.0,0.0,0,4.0
2018-02-03,23.0,0.0,14,1.5
2018-02-04,2.5,0.0,7,0.0
2018-02-05,3.5,0.0,11,9.3
2018-02-06,7.0,0.0,15,3.5
2018-02-07,14.0,0.0,21,0.0
2018-02-08,4.0,0.0,20,0.0
2018-02-09,6.0,0.0,0,0.0
2018-02-10,0.0,0.0,0,0.0
2018-02-11,0.0,0.0,0,0.0
2018-02-12,0.0,0.0,6,4.5
2018-02-13,2.0,0.0,1,0.0
2018-02-14,9.5,0.0,4,0.0
2018-02-15,1.0,0.0,3,4.5
2018-02-16,5.0,0.0,0,0.0
2018-02-17,0.0,0.0,15,0.0
2018-02-18,3.0,0.0,0,5.5
2018-02-19,0.0,0.0,0,46.5
2018-02-20,8.0,0.0,10,15.0
2018-02-21,2.5,0.0,9,9.5
2018-02-22,11.0,0.0,17,13.5
2018-02-23,18.5,0.0,49,0.0
2018-02-24,6.5,0.0,0,8.0
2018-02-25,9.0,0.0,4,7.5
2018-02-26,34.5,0.0,35,39.0
2018-02-27,13.0,0.0,29,22.0
2018-02-28,29.0,0.0,31,3.0
2018-03-01,2.0,0.0,25,6.0
2018-03-02,7.5,0.0,37,4.0
2018-03-03,6.0,0.0,19,9.0
2018-03-04,9.0,0.0,14,21.0
2018-03-05,13.5,0.0,7,12.5
2018-03-06,11.0,0.0,13,0.0
