date,Swift Close,Westbourne Road,Avon Close,The Grove,Regent Street
2007-01-01,2,0,0,0.4,2
2007-01-02,1,1.2,0,2,0
2007-01-03,0,0,0,0,0
2007-01-04,0,0,0,0,0
2007-01-05,0,0,0,0,0
2007-01-06,0,0,0,0,0
2007-01-07,0,0,0,0,0
2007-01-08,0,0,0,0,0
2007-01-09,0,0,0,0,0
2007-01-10,0,3.2,0,,0
2007-01-11,0,4.4,0,0,0
2007-01-12,0,0,0,0,0
2007-01-13,0,0,0,0,0
2007-01-14,0,0,16,0,0
2007-01-15,3.5,0,0,,0
2007-01-16,1.5,0,0,0,0
2007-01-17,0,0,0,0,20
2007-01-18,6.5,0,0,0,58
2007-01-19,5.5,6.7,0,0.5,9
2007-01-20,26,0,0,16.5,0
2007-01-21,8,11,0,0,24
2007-01-22,25,0,16,,15
2007-01-23,57.5,5.8,6,12.5,15
2007-01-24,25,10.5,0,13,1
2007-01-25,1,0.5,27,1.8,11
2007-01-26,16,0,9,22.3,1
2007-01-27,4,33.6,14,5.1,9
2007-01-28,20,28.6,13,6.3,0
2007-01-29,13,5.1,8,22.6,1
2007-01-30,25,9.1,2,22,4
2007-01-31,0.5,0,14,2.5,1
2007-02-01,41,16.1,8,28.4,2
2007-02-02,16.5,15,4,22.5,37
2007-02-03,28,0,1,2.4,6
2007-02-04,12.5,30.1,40,25,13
2007-02-05,11.5,15.1,5,25.4,0
2007-02-06,2.6,12.5,0,1.2,5
2007-02-07,2,0,0,,0
2007-02-08,0,0,0,0,0
2007-02-09,0,0,0,0,1
2007-02-10,0,4,0,0,0
2007-02-11,0,0,2,0,3
2007-02-12,3.5,0,35,12.3,55
2007-02-13,20,21.9,47,52.8,2
2007-02-14,2,0,6,24.7,0
2007-02-15,7,54,21,0.5,33
2007-02-16,14.5,0,15,7.1,3
2007-02-17,7.5,0,3,21,2
2007-02-18,3.5,0,15,19,0
2007-02-19,10.5,17.1,27,27.2,54
2007-02-20,57.5,0,53,38.9,30
2007-02-21,53,77.2,12,32.8,0
2007-02-22,0,18.5,11,5,2
2007-02-23,6.3,18.8,17,5,2
2007-02-24,0,25.5,0,6.1,0
2007-02-25,10,0,16,18.2,9
2007-02-26,12,21.9,15,9.7,5
2007-02-27,20.5,4,0,15,0
2007-02-28,7,4.4,0,5.5,6
2007-03-01,0,6.9,2,,0
2007-03-02,0,13,7,1,4
2007-03-03,0,0,0,6.7,0
2007-03-04,0,0,0,0.7,0
2007-03-05,0,0,5,0.5,0
2007-03-06,0,6.3,0,2.3,0
2007-03-07,0,0,9,2.3,17
2007-03-08,0,0,5,7.1,1
2007-03-09,0,29.1,0,5,3
2007-03-10,0,15.5,8,6,1
2007-03-11,0,0,0,,0
2007-03-12,0,0,0,0,0
2007-03-13,0,5.2,20,17,4
2007-03-14,0,20.2,6,14.4,18
2007-03-15,0,0,17,4,20
2007-03-16,0,1.8,5,2,30
2007-03-17,0,15.2,5,5,4
2007-03-18,0,1.2,3,5,98
2007-03-19,0,7.9,3,4.7,25
2007-03-20,0,8.5,2,3.5,10
2007-03-21,0,0.6,2,1.4,2
2007-03-22,0,0,0,,0
2007-03-23,0,5,0,2.3,0
2007-03-24,0,24.8,0,0,0
2007-03-25,0,0,0,0,0
2007-03-26,0,10.5,0,0,7
2007-03-27,0,0,5,0.2,19
2007-03-28,0,5.5,0,9.6,11
2007-03-29,0,29.9,2,0,1
2007-03-30,0,5.8,6,0.2,1
2007-03-31,0,0,6,4.5,7
2007-04-01,0,0,4,7,8
2007-04-02,0,0,2,25,0
2007-04-03,0,7.1,38,18.8,8
2007-04-04,0,0,4,30.4,6
2007-04-05,0.5,9.1,0,4.3,0
2007-04-06,0,11.2,38,0,8
2007-04-07,1.5,0,41,29.3,2
2007-04-08,7.5,7.7,4,12.7,31
2007-04-09,0,18.1,3,7,0
2007-04-10,0,0,3,,2
2007-04-11,3,1.9,31,40.7,0
2007-04-12,1.5,4.1,4,8.8,2
2007-04-13,0,0,23,1.3,2
2007-04-14,4.5,33.6,20,2,19
2007-04-15,4,20.5,0,24.3,0
2007-04-16,3,1.4,2,4.9,11
2007-04-17,6.5,10.6,23,3,1
2007-04-18,15,3,28,22.9,17
2007-04-19,15,6.8,37,4,33
2007-04-20,46,45.1,8,25.2,24
2007-04-21,2,8.4,6,8.4,2
2007-04-22,15.5,41.5,17,,20
2007-04-23,6.9,16.7,20,51.2,20
2007-04-24,19.5,12.5,7,6.3,50
2007-04-25,7,26.9,13,69.5,4
2007-04-26,3.5,22.4,4,10.2,2
2007-04-27,17.5,24.1,30,3.3,52
2007-04-28,23,38.3,2,20,47
2007-04-29,1.5,3.4,3,31.3,27
2007-04-30,1,0,0,0.2,14
2007-05-01,0,0,5,4.8,3
2007-05-02,0,0,11,0.4,3
2007-05-03,0,11.2,0,22.7,0
2007-05-04,0,0,0,0,0
2007-05-05,0,0,1,0,0
2007-05-06,0,13.1,0,,0
2007-05-07,0,0,0,0,0
2007-05-08,0,2.7,0,0,0
2007-05-09,0,23.5,0,0,24
2007-05-10,4.5,0,6,0,0
2007-05-11,0,0,0,4.7,0
2007-05-12,0,0,13,0,5
2007-05-13,4.5,0,7,0,58
2007-05-14,11,3.1,0,43.4,0
2007-05-15,0,14.7,0,4,9
2007-05-16,29.5,0,0,,45
2007-05-17,11.5,21.1,15,0.8,7
2007-05-18,18,0.2,2,1.4,0
2007-05-19,0.5,1.6,2.5,2.7,21
2007-05-20,34,22.6,0,,0
2007-05-21,0,4.6,0,2.3,0
2007-05-22,0,0,0,0,0
2007-05-23,0,0.4,0,0.4,0
2007-05-24,0,0,0,0,0
2007-05-25,0,0,0,0,0
2007-05-26,0,0,0,0,0
2007-05-27,0,0,0,0,0
2007-05-28,0,0,0,0,0
2007-05-29,0,0,9,0,0
2007-05-30,0,0,0,1,0
2007-05-31,35.5,3,0,0,0
2007-06-01,0.5,2.2,8,2,4
2007-06-02,0,10.7,0,49.4,4
2007-06-03,0,0,0,10.1,0
2007-06-04,0,0,0,0,0
2007-06-05,0,0.3,0,21,2
2007-06-06,0,0.4,0,2.4,0
2007-06-07,0,0,0,0,0
2007-06-08,0,1.8,0,0,18
2007-06-09,0,7.3,0,5,0
2007-06-10,0,0,0,0,0
2007-06-11,0,0,0,0,0
2007-06-12,0,0,0,0,0
2007-06-13,0,0,0,0,0
2007-06-14,0,0,0,0,0
2007-06-15,0,0,0,,0
2007-06-16,0,0,0,0,0
2007-06-17,0,0,0,0,0
2007-06-18,9,0,2,0,20
2007-06-19,4,0,16,10.6,1
2007-06-20,20.5,0,21,0.6,17
2007-06-21,2,27.7,5.5,53.5,4
2007-06-22,5,8.7,0,1.6,0
2007-06-23,0,0,1,0.5,0
2007-06-24,0,0,0,0,0
2007-06-25,0,0,0,0,0
2007-06-26,0,0,0,0,0
2007-06-27,0,0,0,0,0
2007-06-28,7.5,0,6,,6
2007-06-29,0,0,0,7.4,0
2007-06-30,0,0.5,10,0,22
2007-07-01,18,0.5,0,4.4,35
2007-07-02,0,0,0,1,0
2007-07-03,0,0,0,0,0
2007-07-04,0,0,0,0,0
2007-07-05,0,0,0,0,0
2007-07-06,0,0,4,0,0
2007-07-07,0,0,0,3.4,0
2007-07-08,0,0,0,0,0
2007-07-09,0,0,0,0,0
2007-07-10,0,0,0,0,0
2007-07-11,0,0,0,0,0
2007-07-12,0,0,0,0,0
2007-07-13,0,0,0,0,0
2007-07-14,0,0,0,0,0
2007-07-15,0,0,0,0,0
2007-07-16,0,0,0,1.8,0
2007-07-17,0,0,0,0,0
2007-07-18,0,0,0,0,0
2007-07-19,1,0,0,0,0
2007-07-20,0,0,0,0.4,0
2007-07-21,0,0,0,0,0
2007-07-22,0,0,0,0,0
2007-07-23,0,0,0,0,0
2007-07-24,0,0,0,0,0
2007-07-25,0,0,0,0,0
2007-07-26,0,0,0,0,0
2007-07-27,0,0,0,0,0
2007-07-28,0,0,0,0,0
2007-07-29,0,0,0,0,0
2007-07-30,0,0,0,0,0
2007-07-31,0,0,0,0,0
2007-08-01,0,0,0,,0
2007-08-02,0,0,0,,0
2007-08-03,0,0,0,,0
2007-08-04,0,0,0,,0
2007-08-05,0,0,0,,0
2007-08-06,0,0,0,,0
2007-08-07,0,0,0,,0
2007-08-08,0,0,0,,0
2007-08-09,0,0,0,,0
2007-08-10,0,0,0,,0
2007-08-11,0,0,0,,0
2007-08-12,0,0,0,,0
2007-08-13,0,0,0,,0
2007-08-14,0,0,0,,0
2007-08-15,0,0,0,,0
2007-08-16,0,0,0,,0
2007-08-17,0,0,0,,0
2007-08-18,0,0,0,,0
2007-08-19,0,0,0,,0
2007-08-20,0,0,0,,0
2007-08-21,0,1.4,0,,0
2007-08-22,0,3.3,0,,0
2007-08-23,0,0,0,,0
2007-08-24,0,0,0,,0
2007-08-25,0,0,0,,0
2007-08-26,0,0,0,,0
2007-08-27,0,0,0,,0
2007-08-28,0,0,0,,0
2007-08-29,0,0,0,,0
2007-08-30,0,0,0,,0
2007-08-31,0,0,0,,0
2007-09-01,0,0,0,,0
2007-09-02,0,0,0,,0
2007-09-03,0,0,0,,0
2007-09-04,0,0,0,,0
2007-09-05,0,0,0,,0
2007-09-06,0,0,0,,0
2007-09-07,0,0,0,,0
2007-09-08,0,0.2,0,3.7,0
2007-09-09,0,0,0,,0
2007-09-10,0,0,0,,0
2007-09-11,0,0,0,,0
2007-09-12,0,0,0,,0
2007-09-13,0,0,0,,0
2007-09-14,0,0,0,,0
2007-09-15,0,0,0,,0
2007-09-16,0,0,0,,0
2007-09-17,0,0,0,,0
2007-09-18,0,0,0,13.7,0
2007-09-19,0,0,0,,0
2007-09-20,0,0,0,,0
2007-09-21,0,0,0,,0
2007-09-22,0,0,0,,0
2007-09-23,0,0,0,11,0
2007-09-24,0,0,0,,0
2007-09-25,0,0,0,15.7,0
2007-09-26,0,0,0,,0
2007-09-27,0,0,0,,0
2007-09-28,0,0,0,,0
2007-09-29,0,0,0,,0
2007-09-30,0,0,0,,0
2007-10-01,0,0,0,,0
2007-10-02,0,0,0,,0
2007-10-03,0,0,0,,0
2007-10-04,0,0,0,,0
2007-10-05,0,0,0,,0
2007-10-06,1,0,0,,0
2007-10-07,2,0,0,,0
2007-10-08,0,0,0,0.5,0
2007-10-09,0,0,0,,12
2007-10-10,2.2,0,0,,11
2007-10-11,0,8.3,0,,0
2007-10-12,0,0,0,0.8,0
2007-10-13,2,0,19,,0
2007-10-14,2,39.6,0,7.5,0
2007-10-15,0,0,0,,0
2007-10-16,0,18,0,,0
2007-10-17,0,0,0,,0
2007-10-18,0,0,0,,0
2007-10-19,0,0,0,,6
2007-10-20,0,0.1,0,1,0
2007-10-21,0,0,0,0.2,0
2007-10-22,0,0,0,,0
2007-10-23,13,0,2.3,2.3,10
2007-10-24,3.5,2.5,1.1,27,54
2007-10-25,0,6,0,10.5,0
2007-10-26,0,8.5,0,,0
2007-10-27,0,0,0,11.2,2
2007-10-28,0,0,0,6.2,10
2007-10-29,41.5,0,1.9,1.8,48
2007-10-30,7,28.5,4,22.7,30
2007-10-31,7,5.4,4.4,6.7,33
2007-11-01,12,44.6,15,22.8,11
2007-11-02,6.5,35,90,13,1
2007-11-03,6,0.7,24,33.7,4
2007-11-04,9.5,83.5,0,29.8,4
2007-11-05,8,1.3,27,,6
2007-11-06,44,60.3,39,13,24
2007-11-07,0.5,27.7,0,26.6,0
2007-11-08,1.5,9.3,25,,0
2007-11-09,10,1.6,25,0.3,25
